title,id,url,viewCount,date,likes,channelName,channelUrl,numberOfSubscribers,duration,days_since_upload,ReachFactor,EngagementEfficiency,VelocityFactor,ViralityScore
Made in heaven S2 #hindi #review #telugu #trending #viral #shorts #love #wedding #prime #comedy #ott,lh0RKCpOp68,https://www.youtube.com/shorts/lh0RKCpOp68,312,8/15/23 16:30,11,2BHK - ToBeHonest Kontent,https://www.youtube.com/@tobehonestkontent,1680,00:00:59,778,5.746203191,0.03525641,0.014138817,0.00286439
Made in Heaven Season 2 Review | Truth of Relationship,4v0qq84KjYw,https://www.youtube.com/watch?v=4v0qq84KjYw,69,8/15/23 01:30,6,Cinematic Countdown,https://www.youtube.com/@CinematiCountdown,96,00:05:50,779,4.248495242,0.086956522,0.007702182,0.002845451
Made in Heaven Season 2 Release Date*Confirmed*|Made in Heaven Season 2 Final Release Date|Prime,nr560TluY1M,https://www.youtube.com/watch?v=nr560TluY1M,237,7/8/23 05:15,10,SpotLight TV,https://www.youtube.com/@SpotLightTVST,9280,00:02:29,817,5.472270674,0.042194093,0.012239902,0.002826163
Made In Heaven Season 2 Official Trailer REACTION!! | Prime Video India,rhmNIuKYZ6s,https://www.youtube.com/watch?v=rhmNIuKYZ6s,144,8/7/23 04:00,8,Bioscope Bong Couple,https://www.youtube.com/@bioscopebongcouple,691,00:06:56,787,4.976733742,0.055555556,0.010165184,0.002810523
Music business from a DJ's perspective  (Coffee with Mih Season 2: Ep 4),oZszHbuQit4,https://www.youtube.com/watch?v=oZszHbuQit4,57,2/24/23 13:00,6,Sarangetti Music,https://www.youtube.com/@SarangettiMusic,2350,00:22:43,950,4.060443011,0.105263158,0.006315789,0.002699463
Made in Heaven Season 2 Review || Amazon Prime Video,Vxt3YY2V6O0,https://www.youtube.com/watch?v=Vxt3YY2V6O0,11,8/10/23 11:36,3,The Binge Watcher,https://www.youtube.com/@thebingewatcher007,900,00:03:29,783,2.48490665,0.272727273,0.003831418,0.002596559
Lesbian Wedding - Karan's Marriage - Divorce - Made in Heaven Season 2 - Trailer Detail Analysis,QHLvEAAvzmo,https://www.youtube.com/watch?v=QHLvEAAvzmo,1121,8/9/23 13:06,18,MOVIES POINTER,https://www.youtube.com/@MOVIESPOINTER,18900,00:02:25,784,7.022868086,0.016057092,0.022959184,0.002589035
Made In Heaven Season 2: The Queen Is Here! #sobhitadhulipala,qEbvXKi2ldI,https://www.youtube.com/shorts/qEbvXKi2ldI,893,8/8/23 18:20,16,SHOWSHA,https://www.youtube.com/@SHOWSHAIndia,598000,00:00:57,785,6.795705775,0.017917133,0.020382166,0.002481724
Elnaaz Norouzi promoting her web show MADE IN HEAVEN SEASON 2 | #shortvideo | Shudh Manoranjan,dpKEUKYKl0I,https://www.youtube.com/shorts/dpKEUKYKl0I,1692,8/4/23 09:00,21,Shudh Manoranjan,https://www.youtube.com/@ShudhManoranjan,1970000,00:00:32,789,7.434257382,0.012411348,0.02661597,0.002455833
Actress Elnaaz Norouzi From Made In Heaven Season 2 At Mad Studio #elnaaznorouzi #madeinheaven,JARS-kj5nWo,https://www.youtube.com/shorts/JARS-kj5nWo,174,8/4/23 11:28,8,TIMES APPLAUD,https://www.youtube.com/@TimesApplaud,311000,00:00:30,789,5.164785974,0.045977011,0.010139417,0.00240772
