id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
1916777283844513973,Housewives of Nairobi star Minne Kariuki and husband reveal son's face https://t.co/dqt0xiD5kw #Minnekariuki #RHONairobi https://t.co/vmcIF29yHp,0,0,0,0,Mon Apr 28 08:51:31 +0000 2025,0,FALSE,FALSE
1916137444023669064,"@ShowmaxOnline can you actually just listen to us and bring back #RHONairobi????

You can take the Tanzanian Mommy club back in exchange please. We don’t mind. 🙏🏾",1,0,0,0,Sat Apr 26 14:29:01 +0000 2025,0,FALSE,FALSE
1916024638972346565,"What is your go-to breakfast meal? 😋🥰 https://t.co/Wp2apTZSDp 
#TheChocolateEmpireShowmax #BlackAndBlueShowmax #RHONairobi https://t.co/anAVbjbRTR",0,0,0,0,Sat Apr 26 07:00:46 +0000 2025,0,FALSE,FALSE
1915856125519335732,When is season 3 coming 😭 #RHONairobi,0,0,0,0,Fri Apr 25 19:51:09 +0000 2025,0,FALSE,FALSE
1915642980444131449,"Trend alert😂😂😂
Make a tend with this picture 
For fun

#rhoNairobi
#RealHousewives https://t.co/Q4wSslcso2",0,0,0,0,Fri Apr 25 05:44:12 +0000 2025,0,FALSE,FALSE
1915460214934921296,"Now that #RHOLagos is done I’m ready for  #RHONairobi. I actually miss Minne, Catherine and Susan.",0,0,3,0,Thu Apr 24 17:37:57 +0000 2025,0,FALSE,FALSE
1914580078018613683,Nani ataslay effortlessly? 🤩 #RHONairobi inastream on Showmax 🎥🍿 https://t.co/a8OIxxbJA0 https://t.co/Jv5vJXwyRV,0,0,0,0,Tue Apr 22 07:20:36 +0000 2025,0,FALSE,FALSE
1913380925573865803,"I hope Production Team is now finalizing this year’s season of The real housewives in Nairobi. I need Minne and Dr C back on my screen.
#RhoNairobi",0,0,0,0,Fri Apr 18 23:55:36 +0000 2025,0,FALSE,FALSE
1912038334777483297,"Unaweza answer all four questions correctly? 🤭🤔 https://t.co/Le7CFlVbe0 

#RHONairobi #RealHousewives https://t.co/fs389M7sxX",1,1,1,0,Tue Apr 15 07:00:37 +0000 2025,0,FALSE,FALSE
1910772140774728113,"I think Nonku should STOP trying to change and all that, she must proudly wear her Nonku crown just like Dr C from #RHONairobi She is Nonku Williams International for heavens sake!!!
#RHODurban",0,2,10,0,Fri Apr 11 19:09:13 +0000 2025,0,FALSE,FALSE
1910588629615063541,"If you had to choose only one, which one ungepick? 😍🥰 https://t.co/Wp2apU0qsX 
#RHONairobi #NairobiBachelor #RHOLagos https://t.co/tLDUtNEayV",0,3,0,0,Fri Apr 11 07:00:00 +0000 2025,0,FALSE,FALSE
1909402164142670276,Zena is such a horrible person. She had something negative about all the housewives. Hope we won’t be seeing her on the show next season. Such a waste of airtime.  #RHONairobi,1,0,1,0,Tue Apr 08 00:25:25 +0000 2025,0,FALSE,FALSE
1908844212251918447,"Wote tunadream of this kind of love, right? 😍 ama iko too good to be true? 🤭 Stream #AllAmerican #RHONairobi #JijiShowmax then invite your friend afanye subscription kwa kudial *375# 🔥 https://t.co/CLji4sZvrJ https://t.co/hwB0sr43EW",0,0,0,0,Sun Apr 06 11:28:19 +0000 2025,0,FALSE,FALSE
1908172861635698749,"If you could only go to one of these events, utachoose gani? 😍💅 The reality TV series #RHONairobi is now streaming. https://t.co/Le7CFlVbe0 https://t.co/VptWcaw4qO",1,1,0,0,Fri Apr 04 15:00:37 +0000 2025,0,FALSE,FALSE
1906292793389003226,"If you could compete in any Showmax reality show, ungepick gani? #TakeMeHome #RHONairobi #Nairich zinastream on Showmax 🍿🎥 https://t.co/CLji4sZvrJ

Non-stop reality zinastream on Showmax! Subscribe now 🔥 https://t.co/6oGhomC6xa https://t.co/74ocWHGJrJ",0,0,0,0,Sun Mar 30 10:29:53 +0000 2025,0,FALSE,FALSE
1905015002727424387,I know I’m a bit late to season 2 but it seems like some of these women in #rhonairobi don’t know they’ll get old too because the age shaming left right center…,0,0,1,0,Wed Mar 26 21:52:24 +0000 2025,0,FALSE,FALSE
1903794007819649076,"Who do you need fitness motivation from? 💪🤩 https://t.co/vC64N3msrA  
#RHONairobi #AdultingShowmaxS3 #FastAndFuriousHobbsAndShaw #SWAT https://t.co/kiTSty1Js5",1,0,0,0,Sun Mar 23 13:00:36 +0000 2025,0,FALSE,FALSE
1902331834316333315,"I need the #RHONairobi girls back like yesterday!

@showmaxkenya please help me 😭😔🫶🏾",0,1,1,0,Wed Mar 19 12:10:27 +0000 2025,0,FALSE,FALSE
1898666691510313025,Still celebrating women! 🤩 Drop ❤️ emoji kwa comment then stream #RHONairobi #BlackAndBlueShowmax #JijiShowmax on Showmax 🎥🍿 https://t.co/3zWjZDmjIr https://t.co/KUs28wSMWp,1,0,2,0,Sun Mar 09 09:26:29 +0000 2025,0,FALSE,FALSE
1898444827341263170,Sophia sounds like Minne from the #RHONairobi #realhousewivesoflagos,0,0,1,0,Sat Mar 08 18:44:52 +0000 2025,0,FALSE,FALSE
1898025895589220560,Which two ladies would bring your fave party essentials? 🥳🪇 The reality TV series #RHONairobi is now streaming. https://t.co/Le7CFlVbe0 https://t.co/JqGiBr33zq,1,0,0,0,Fri Mar 07 15:00:11 +0000 2025,0,FALSE,FALSE
1897985487383486640,"It takes a strong woman to appreciate another woman who they don't like. Happy international women's day. #rhonairobi #samanthaswines 
#catherinemasitsa 
#InternationalWomensDay2025 https://t.co/1XdkbSNvQd",1,0,3,0,Fri Mar 07 12:19:37 +0000 2025,0,FALSE,FALSE
1896878507847774513,Why unawatch your faves? 😍🥂 #RHONairobi and #RHOLagos are now streaming. https://t.co/Wp2apTZSDp https://t.co/Eyxspg2CHX,1,0,1,1,Tue Mar 04 11:00:53 +0000 2025,0,FALSE,FALSE
